Num,Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
264,10:13:00,Thursday,31-50,Male,,Owner,5-10yr,Automobile,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,2,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
265,10:13:00,Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
266,9:48:00,Friday,Under 18,Male,High school,Employee,2-5yr,Automobile,Owner,,,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
267,9:48:00,Friday,18-30,Male,Above high school,Employee,5-10yr,Other,Governmental,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
268,16:20:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
269,16:20:00,Monday,18-30,Unknown,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
270,19:40:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
271,16:53:00,Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,,,Office areas,,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Reversing,Driver or rider,Female,Over 51,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
272,12:55:00,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,,Office areas,,Tangent road with mild grade and flat terrain,No junction,Other,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
273,19:32:00,Friday,31-50,Unknown,Junior high school,Employee,1-2yr,Automobile,Owner,,,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Moving Backward,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
274,19:32:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
275,17:35:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,,,Office areas,,Tangent road with flat terrain,Crossing,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,18-30,3,,Normal,Not a Pedestrian,No distancing,Slight Injury
276,17:35:00,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
277,17:35:00,Saturday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
278,18:40:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,Under 18,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
279,18:40:00,Tuesday,18-30,Male,High school,Employee,Above 10yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Turnover,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
280,15:47:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
281,14:57:00,Sunday,Under 18,Male,High school,Employee,5-10yr,Other,Governmental,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
282,17:25:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Overtaking,Serious Injury
283,17:25:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,,Owner,,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Serious Injury
284,17:25:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Serious Injury
285,17:22:00,Sunday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
286,17:22:00,Sunday,Under 18,Male,Elementary school,Other,5-10yr,Public (13?45 seats),Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
287,16:05:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
288,16:05:00,Monday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
289,16:05:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
290,9:00:00,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Motorcycle,Governmental,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Moving Backward,na,na,na,na,,,Not a Pedestrian,Overtaking,Slight Injury
291,9:00:00,Thursday,18-30,Male,Junior high school,Other,Below 1yr,Public (12 seats),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
292,8:55:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
293,10:44:00,Friday,31-50,Male,High school,Owner,5-10yr,Automobile,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
294,16:18:00,Wednesday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
295,17:21:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
296,17:21:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
297,17:21:00,Thursday,31-50,Male,Above high school,Employee,5-10yr,Automobile,Organization,,,Residential areas,other,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,4,2,Going straight,Passenger,Male,18-30,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
298,17:21:00,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,4,2,Parked,na,na,na,na,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
299,15:40:00,Monday,18-30,Male,,,,,,,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Pedestrian,Female,Under 18,3,,,Unknown or other,Moving Backward,Slight Injury
300,15:40:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Other,Organization,5-10yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,1,Going straight,Driver or rider,Female,18-30,3,,,Not a Pedestrian,No distancing,Slight Injury
301,15:40:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Unknown,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
302,15:40:00,Monday,31-50,Female,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,5-10yrs,, Hospital areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
303,16:46:00,Thursday,18-30,Male,Elementary school,Employee,1-2yr,Public (13?45 seats),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
304,16:46:00,Thursday,Over 51,Unknown,High school,Employee,,Automobile,Owner,,,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,3,2,Stopping,Driver or rider,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
305,16:46:00,Thursday,31-50,Male,Junior high school,Owner,1-2yr,Public (12 seats),Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
306,17:45:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,5-10yrs,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Overtaking,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
307,17:45:00,Sunday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,Over 51,2,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
308,11:45:00,Saturday,Unknown,Female,Elementary school,Employee,Above 10yr,Automobile,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Reversing,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
309,11:45:00,Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Collision with roadside objects,3,2,Going straight,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
310,11:45:00,Saturday,31-50,Unknown,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Going straight,Passenger,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
311,11:45:00,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Collision with roadside objects,3,2,Unknown,na,na,na,na,,,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
312,12:00:00,Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Female,31-50,2,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
313,12:00:00,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Moving Backward,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
314,12:00:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Collision with pedestrians,3,2,Going straight,Passenger,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
315,12:00:00,Saturday,18-30,Male,Elementary school,Employee,5-10yr,,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
316,7:50:00,Friday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,, Industrial areas,One way,,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
317,7:50:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Other,One way,Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
318,19:55:00,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Snow,Vehicle with vehicle collision,2,2,Unknown,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
319,19:55:00,Sunday,31-50,Male,High school,Employee,Above 10yr,,Governmental,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Snow,Collision with pedestrians,2,2,Going straight,Pedestrian,Male,Under 18,3,Self-employed,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
320,20:30:00,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,,No defect,,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury
321,20:30:00,Sunday,Over 51,Male,Junior high school,Owner,2-5yr,Automobile,Owner,,,Other,,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
322,20:30:00,Sunday,Over 51,Male,Elementary school,Employee,1-2yr,Other,Owner,Unknown,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Turnover,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Moving Backward,Slight Injury
323,20:30:00,Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,Pedestrian,Male,Under 18,2,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No distancing,Slight Injury
324,20:30:00,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,6,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
325,20:30:00,Sunday,31-50,Male,,,,Lorry (41?100Q),Owner,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,6,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
326,13:57:00,Wednesday,Over 51,Unknown,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,4,2,Reversing,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
327,13:57:00,Wednesday,18-30,Male,High school,Other,Above 10yr,Public (13?45 seats),Owner,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,4,2,Getting off,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
328,13:57:00,Wednesday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
329,13:57:00,Wednesday,Unknown,Female,Junior high school,Employee,1-2yr,Pick up upto 10Q,Other,1-2yr,No defect,  Recreational areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Collision with roadside objects,4,2,Getting off,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
330,13:45:00,Sunday,Under 18,Male,High school,Owner,,Automobile,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
331,13:45:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
332,7:44:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
333,7:44:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,,Residential areas,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving to the left,Slight Injury
334,15:35:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,Over 51,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
335,20:00:00,Friday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
336,20:00:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Governmental,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
337,20:00:00,Friday,31-50,Male,Above high school,Employee,1-2yr,Automobile,Governmental,1-2yr,No defect, Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
338,17:46:00,Thursday,Over 51,Male,Elementary school,Employee,Above 10yr,Other,Organization,1-2yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Snow,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
339,17:46:00,Thursday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Moving Backward,Passenger,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
340,17:46:00,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
341,14:20:00,Friday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
